Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,76.059998,76.250000,75.650002,76.080002,67.061386,4959300
2014-09-30,76.040001,76.720001,75.769997,76.470001,67.405151,5640700
2014-10-01,76.510002,76.860001,75.910004,76.120003,67.096642,6524900
2014-10-02,76.209999,76.910004,75.959999,76.230003,67.193604,4921200
2014-10-03,76.570000,77.480003,76.529999,77.320000,68.154404,5819700
2014-10-06,77.050003,77.919998,76.989998,77.349998,68.180847,5429700
2014-10-07,77.029999,77.690002,76.720001,77.300003,68.136772,7059900
2014-10-08,77.410004,78.489998,76.809998,78.239998,68.965340,8107100
2014-10-09,78.110001,78.830002,77.660004,77.860001,68.630379,7072700
2014-10-10,77.930000,79.370003,77.930000,78.290001,69.009392,10078000
2014-10-13,78.029999,78.580002,77.449997,77.559998,68.365936,8201200
2014-10-14,77.830002,78.629997,77.669998,77.980003,68.736145,7901100
2014-10-15,77.580002,77.690002,74.360001,75.199997,66.285690,21057700
2014-10-16,73.230003,74.070000,72.610001,73.820000,65.069275,14346600
2014-10-17,74.180000,74.500000,73.029999,74.099998,65.316086,11462300
2014-10-20,74.139999,75.220001,73.919998,75.139999,66.232819,7040700
2014-10-21,75.180000,76.199997,75.010002,76.019997,67.008476,8299700
2014-10-22,76.470001,76.660004,76.010002,76.029999,67.017296,5927600
2014-10-23,76.370003,76.650002,75.779999,76.250000,67.211243,6367100
2014-10-24,76.129997,76.500000,75.500000,76.379997,67.325829,4479600
2014-10-27,76.330002,76.980003,76.309998,76.589996,67.510925,4107400
2014-10-28,76.629997,76.800003,76.000000,76.349998,67.299370,4979600
2014-10-29,76.550003,76.639999,75.970001,76.389999,67.334625,5759700
2014-10-30,76.169998,76.599998,75.980003,76.449997,67.387527,4872400
2014-10-31,76.889999,77.400002,76.010002,76.269997,67.228844,7570700
2014-11-03,76.349998,76.379997,75.589996,76.279999,67.237663,6894400
2014-11-04,76.489998,77.370003,76.279999,77.260002,68.101509,6904900
2014-11-05,77.870003,78.230003,77.300003,77.699997,68.489342,5673800
2014-11-06,78.150002,78.180000,77.169998,77.809998,68.586304,4621900
2014-11-07,77.839996,79.080002,77.610001,78.769997,69.432503,9498800
2014-11-10,78.599998,80.129997,78.419998,79.440002,70.023087,12640500
2014-11-11,79.400002,79.419998,78.849998,79.010002,69.644073,5602400
2014-11-12,78.830002,79.440002,78.650002,79.199997,69.811539,6791200
2014-11-13,80.959999,83.059998,80.860001,82.940002,73.108185,22812400
2014-11-14,82.580002,83.150002,82.099998,82.959999,73.125839,10636600
2014-11-17,82.580002,83.720001,82.529999,83.570000,73.663521,7993400
2014-11-18,83.500000,83.919998,83.339996,83.790001,73.857430,6096400
2014-11-19,83.959999,85.639999,83.919998,84.989998,74.915192,12189800
2014-11-20,84.809998,85.290001,84.040001,84.580002,74.553780,7812700
2014-11-21,85.339996,85.440002,84.580002,84.650002,74.615486,6649600
2014-11-24,84.849998,85.610001,84.769997,85.400002,75.276588,7995500
2014-11-25,85.500000,85.510002,84.389999,84.949997,74.879921,6675500
2014-11-26,84.900002,85.110001,84.480003,84.980003,74.906357,3942800
2014-11-28,86.180000,88.089996,85.900002,87.540001,77.162910,7820600
2014-12-01,86.720001,87.070000,85.750000,86.220001,75.999390,9140900
2014-12-02,86.269997,86.699997,85.930000,86.400002,76.158043,6766300
2014-12-03,85.949997,86.000000,84.680000,84.940002,75.289383,6374300
2014-12-04,84.129997,84.820000,83.650002,84.760002,75.129845,6901400
2014-12-05,84.809998,84.820000,83.510002,84.120003,74.562569,6570100
2014-12-08,84.150002,84.669998,83.849998,84.230003,74.660057,6266000
2014-12-09,83.650002,84.209999,82.650002,83.559998,74.066185,6633600
2014-12-10,83.930000,84.309998,82.900002,82.980003,73.552071,6973600
2014-12-11,83.199997,84.500000,83.160004,83.830002,74.305511,8032800
2014-12-12,83.519997,85.000000,83.519997,83.809998,74.287773,7284100
2014-12-15,84.260002,84.699997,83.050003,83.940002,74.403000,6317700
2014-12-16,83.620003,84.760002,82.940002,82.959999,73.534363,7437400
2014-12-17,83.279999,84.260002,82.949997,84.230003,74.660057,6641000
2014-12-18,84.800003,85.949997,84.279999,85.940002,76.175774,8645900
2014-12-19,86.260002,86.339996,85.160004,85.160004,75.484406,12068800
2014-12-22,85.320000,86.400002,85.290001,86.379997,76.565781,4575800
2014-12-23,86.690002,87.080002,86.360001,86.660004,76.813980,5552600
2014-12-24,86.970001,87.070000,86.389999,86.430000,76.610092,2491800
2014-12-26,86.180000,87.139999,86.010002,86.910004,77.035561,3249300
2014-12-29,86.459999,87.070000,86.400002,86.639999,76.796234,3605600
2014-12-30,86.519997,87.129997,86.480003,86.790001,76.929184,3265400
2014-12-31,87.080002,87.440002,85.860001,85.879997,76.122574,4151400
2015-01-02,86.269997,86.720001,85.550003,85.900002,76.140320,4501800
2015-01-05,85.720001,86.320000,85.510002,85.650002,75.918732,6979000
2015-01-06,85.980003,86.750000,85.790001,86.309998,76.503731,8205100
2015-01-07,86.779999,88.680000,86.669998,88.599998,78.533562,8498400
2015-01-08,89.209999,90.669998,89.070000,90.470001,80.191078,12713600
2015-01-09,90.320000,90.389999,89.250000,89.349998,79.198334,8522500
2015-01-12,89.360001,90.309998,89.220001,90.019997,79.792206,7372500
2015-01-13,90.800003,90.970001,88.930000,89.309998,79.162895,8215400
2015-01-14,87.650002,88.519997,86.500000,86.610001,76.769653,11954300
2015-01-15,87.000000,87.779999,86.699997,87.379997,77.452148,9412700
2015-01-16,87.199997,87.459999,86.230003,86.769997,76.911446,8408900
2015-01-20,86.820000,87.699997,85.550003,86.690002,76.840561,7853100
2015-01-21,86.099998,86.910004,85.709999,86.639999,76.796234,8173800
2015-01-22,87.230003,88.400002,86.860001,88.300003,78.267624,7123800
2015-01-23,88.419998,89.260002,87.889999,88.510002,78.453766,7565800
2015-01-26,88.309998,89.160004,88.120003,88.629997,78.560143,4666700
2015-01-27,88.279999,88.459999,87.260002,87.529999,77.585129,6020500
2015-01-28,88.019997,88.230003,86.769997,86.820000,76.955765,5936800
2015-01-29,87.070000,87.720001,86.269997,87.720001,77.753532,6522800
2015-01-30,86.779999,87.360001,84.900002,84.980003,75.324829,10280200
2015-02-02,84.790001,85.870003,83.930000,85.709999,75.971901,6927200
2015-02-03,85.830002,86.529999,85.660004,86.190002,76.397369,8283500
2015-02-04,86.110001,87.040001,86.000000,86.650002,76.805099,8932300
2015-02-05,87.110001,87.360001,86.559998,87.279999,77.363518,5090800
2015-02-06,87.260002,88.000000,86.779999,87.330002,77.407845,5617600
2015-02-09,86.970001,87.190002,85.639999,85.910004,76.149193,5456200
2015-02-10,86.620003,87.410004,86.419998,87.290001,77.372391,5732100
2015-02-11,86.629997,87.120003,85.919998,86.339996,76.530342,5853100
2015-02-12,86.559998,86.680000,85.230003,85.889999,76.131447,6941600
2015-02-13,85.839996,86.160004,85.320000,85.809998,76.060539,5597000
2015-02-17,85.430000,85.970001,84.970001,85.959999,76.193497,5087200
2015-02-18,85.959999,86.300003,85.519997,86.290001,76.486008,6032700
2015-02-19,84.500000,84.800003,83.389999,83.519997,74.030731,18646800
2015-02-20,82.730003,84.379997,82.550003,84.300003,74.722099,13840400
2015-02-23,84.389999,84.860001,84.230003,84.599998,74.988007,6730400
2015-02-24,84.519997,84.820000,83.919998,84.570000,74.961426,5197700
2015-02-25,84.629997,84.720001,83.519997,83.570000,74.075050,6808400
2015-02-26,83.849998,83.860001,83.269997,83.800003,74.278915,5888100
2015-02-27,83.720001,84.160004,83.400002,83.930000,74.394135,5877400
2015-03-02,83.930000,84.000000,83.199997,83.959999,74.420738,6061500
2015-03-03,83.660004,83.820000,83.169998,83.370003,73.897781,6460800
2015-03-04,83.209999,83.209999,82.199997,82.580002,73.197525,6214400
2015-03-05,83.150002,83.870003,82.959999,83.570000,74.075050,5997500
2015-03-06,82.809998,83.099998,82.379997,82.589996,73.206390,5731000
2015-03-09,82.589996,83.339996,82.540001,82.879997,73.463448,4671500
2015-03-10,82.269997,82.500000,82.070000,82.070000,72.745461,6311100
2015-03-11,81.820000,81.970001,80.540001,80.690002,71.951851,6160900
2015-03-12,80.809998,82.120003,80.779999,81.900002,73.030838,5225800
2015-03-13,81.949997,82.250000,81.290001,81.900002,73.030838,4762200
2015-03-16,82.449997,83.370003,82.440002,83.290001,74.270309,6519100
2015-03-17,82.980003,83.010002,82.239998,82.620003,73.672844,4802000
2015-03-18,81.980003,82.959999,81.160004,82.529999,73.592598,10252300
2015-03-19,82.330002,82.440002,81.370003,81.519997,72.691963,7212900
2015-03-20,81.830002,83.489998,81.709999,83.239998,74.225700,12365300
2015-03-23,83.180000,83.900002,83.120003,83.309998,74.288124,6505700
2015-03-24,83.190002,83.709999,82.959999,83.050003,74.056282,5359100
2015-03-25,83.089996,83.250000,81.309998,81.320000,72.513634,6645900
2015-03-26,80.930000,82.309998,80.650002,81.889999,73.021896,8267200
2015-03-27,81.849998,82.180000,81.250000,81.349998,72.540375,5717400
2015-03-30,81.699997,82.800003,81.430000,82.529999,73.592598,5701700
2015-03-31,82.389999,83.040001,82.250000,82.250000,73.342918,5587700
