Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,81.559998,81.919998,81.080002,81.339996,72.528397,3370500
2014-10-07,81.019997,82.000000,80.839996,81.029999,72.251961,4676200
2014-10-08,81.290001,82.559998,81.050003,82.519997,73.580544,4846500
2014-10-09,82.529999,83.199997,81.919998,81.949997,73.072311,5075700
2014-10-10,82.190002,83.449997,81.680000,82.480003,73.544899,7263100
2014-10-13,82.519997,82.519997,80.019997,80.120003,71.440559,7516200
2014-10-14,80.660004,81.279999,80.389999,80.680000,71.939880,7812900
2014-10-15,79.690002,79.980003,77.510002,78.989998,70.432983,9026300
2014-10-16,77.699997,79.650002,77.400002,78.809998,70.272461,7354300
2014-10-17,79.870003,80.169998,78.970001,79.959999,71.297913,5568000
2014-10-20,80.059998,81.970001,79.849998,81.760002,72.902893,5721400
2014-10-21,81.760002,83.099998,81.510002,82.919998,74.186768,5166000
2014-10-22,83.080002,83.790001,82.839996,83.250000,74.481995,5206000
2014-10-23,83.919998,84.449997,83.430000,83.599998,74.795135,3969400
2014-10-24,83.680000,84.349998,83.419998,84.290001,75.412460,2709200
2014-10-27,84.290001,85.220001,84.209999,84.839996,75.904518,3602500
2014-10-28,85.199997,85.260002,84.699997,85.199997,76.226624,3386900
2014-10-29,85.070000,85.739998,84.580002,85.190002,76.217659,3379100
2014-10-30,84.849998,85.949997,84.779999,85.550003,76.539764,3102700
2014-10-31,86.680000,87.160004,85.720001,85.809998,76.772377,6211000
2014-11-03,86.029999,86.680000,85.910004,86.120003,77.049721,5217300
2014-11-04,84.849998,86.209999,83.610001,85.470001,76.468185,6300000
2014-11-05,86.330002,87.879997,85.680000,87.500000,78.284393,5460700
2014-11-06,87.599998,88.480003,87.349998,88.430000,79.116425,3994900
2014-11-07,88.169998,88.410004,87.739998,88.379997,79.071686,3651200
2014-11-10,88.110001,89.209999,87.919998,89.190002,79.796402,3489300
2014-11-11,89.330002,90.180000,89.309998,89.760002,80.306351,3330300
2014-11-12,89.610001,89.800003,89.019997,89.290001,79.885857,3000800
2014-11-13,89.459999,90.139999,89.400002,90.129997,80.637375,3489000
2014-11-14,90.099998,90.250000,89.029999,89.129997,79.742699,5289500
2014-11-17,89.129997,90.129997,89.129997,90.120003,80.628433,4021400
2014-11-18,90.040001,90.449997,89.730003,90.120003,80.628433,3938900
2014-11-19,90.059998,90.370003,89.339996,89.589996,80.154251,4060500
2014-11-20,89.419998,89.709999,88.940002,89.250000,79.850060,3513100
2014-11-21,89.620003,89.970001,89.230003,89.330002,79.921654,4319400
2014-11-24,89.790001,91.110001,89.669998,90.870003,81.299454,4193800
2014-11-25,91.080002,91.080002,90.129997,90.290001,80.780525,3907800
2014-11-26,90.650002,90.919998,90.220001,90.889999,81.317345,2112300
2014-11-28,91.209999,92.000000,91.139999,91.360001,81.737846,1966200
2014-12-01,91.419998,91.419998,89.980003,90.160004,80.664223,3788500
2014-12-02,90.110001,90.470001,89.900002,90.089996,80.601601,3671400
2014-12-03,89.889999,90.250000,88.949997,89.139999,79.751663,4429200
2014-12-04,89.519997,89.970001,89.040001,89.839996,80.377899,4141500
2014-12-05,90.000000,90.730003,89.639999,90.699997,81.147354,3074700
2014-12-08,90.410004,91.220001,90.320000,90.760002,81.201027,2779000
2014-12-09,89.959999,91.269997,89.790001,91.250000,81.639427,3364900
2014-12-10,91.139999,91.330002,90.070000,90.110001,80.619484,4549600
2014-12-11,90.290001,91.750000,90.199997,90.930000,81.353134,4068000
2014-12-12,90.470001,91.849998,89.919998,89.940002,80.467377,4312700
2014-12-15,90.959999,91.529999,89.309998,89.870003,80.404762,6389600
2014-12-16,91.220001,94.610001,91.029999,92.309998,82.587784,10159000
2014-12-17,92.820000,94.750000,92.699997,94.169998,84.251892,6906500
2014-12-18,95.070000,95.529999,94.139999,95.519997,85.459702,5929400
2014-12-19,96.320000,96.730003,95.349998,95.699997,85.620728,9799900
2014-12-22,95.809998,97.110001,95.760002,97.110001,86.882225,4196500
2014-12-23,97.650002,98.139999,96.870003,97.870003,87.562195,4417500
2014-12-24,97.900002,98.480003,97.730003,97.889999,87.580101,2590300
2014-12-26,98.599998,98.620003,97.919998,98.250000,87.902191,2279200
2014-12-29,97.820000,98.489998,97.209999,97.550003,87.275894,3142500
2014-12-30,97.150002,97.940002,97.059998,97.529999,87.257996,2640000
2014-12-31,97.779999,97.870003,96.199997,96.309998,86.166504,3406100
2015-01-02,96.519997,96.870003,94.379997,95.099998,85.083931,5124200
2015-01-05,94.589996,94.889999,93.870003,94.160004,84.242950,5887900
