Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,90.970001,91.400002,88.760002,89.190002,89.069321,1417000
2014-10-07,89.050003,90.830002,88.779999,89.110001,88.989418,2611500
2014-10-08,89.349998,91.470001,89.190002,91.419998,91.296295,1413600
2014-10-09,91.419998,91.860001,89.779999,89.980003,89.858246,1196000
2014-10-10,90.199997,92.070000,90.199997,90.589996,90.467400,1510800
2014-10-13,90.339996,91.169998,89.550003,89.680000,89.558655,1594200
2014-10-14,88.980003,89.059998,86.699997,87.709999,87.591316,3865700
2014-10-15,86.500000,89.099998,85.750000,88.730003,88.609940,3128400
2014-10-16,88.059998,89.949997,87.669998,88.029999,87.910873,2593500
2014-10-17,88.849998,90.370003,88.320000,89.040001,88.919510,1687700
2014-10-20,89.300003,90.699997,89.190002,90.599998,90.477402,986000
2014-10-21,91.430000,92.889999,91.260002,92.709999,92.584541,1249700
2014-10-22,92.940002,93.080002,91.410004,91.449997,91.326248,1735800
2014-10-23,92.529999,93.110001,92.029999,92.269997,92.145134,874500
2014-10-24,92.440002,92.860001,91.550003,92.830002,92.704384,756600
2014-10-27,92.849998,93.239998,92.360001,92.650002,92.524620,713300
2014-10-28,91.480003,92.580002,90.550003,92.580002,92.454727,1532400
2014-10-29,92.900002,94.139999,92.690002,94.000000,93.872803,2970900
2014-10-30,94.500000,97.559998,94.500000,97.099998,96.968613,3049900
2014-10-31,98.660004,99.750000,97.580002,99.570000,99.435257,2593600
2014-11-03,99.639999,100.639999,99.379997,99.730003,99.595055,1659500
2014-11-04,99.500000,101.269997,99.480003,101.019997,100.883293,3345400
2014-11-05,102.160004,102.160004,99.779999,100.000000,99.864677,2339800
2014-11-06,100.279999,101.900002,99.910004,101.339996,101.202858,2014400
2014-11-07,100.570000,101.209999,98.120003,98.989998,98.856056,2584900
2014-11-10,98.970001,101.730003,98.930000,101.279999,101.142937,1980300
2014-11-11,101.519997,102.669998,101.459999,102.129997,101.991791,1924400
2014-11-12,101.599998,102.379997,101.360001,102.110001,101.971832,1479400
2014-11-13,102.080002,103.500000,101.879997,102.709999,102.571014,2110100
2014-11-14,102.750000,102.970001,101.449997,101.900002,101.762108,1706600
2014-11-17,101.910004,103.220001,101.889999,102.940002,102.800705,1468400
2014-11-18,102.970001,104.550003,102.970001,103.949997,103.809326,1579700
2014-11-19,103.980003,103.980003,102.370003,102.629997,102.491119,1419200
2014-11-20,102.360001,102.690002,101.879997,102.209999,102.071678,1372000
2014-11-21,103.279999,103.320000,102.010002,102.180000,102.041733,1566400
2014-11-24,102.610001,102.889999,101.930000,102.400002,102.261429,1838500
2014-11-25,102.489998,102.610001,101.129997,101.900002,101.762108,1434300
