Ticker,Companies,Date,Open,High,Low,Close,Adj Close,Volume
MCK,McKesson Corporation,10/1/2018,132.970001,134.330002,132.160004,132.320007,130.706223,951300
MCK,McKesson Corporation,10/2/2018,132.550003,133.270004,132.320007,132.529999,130.913651,1088100
MCK,McKesson Corporation,10/3/2018,133.259995,133.330002,130.149994,130.5,128.908417,883800
MCK,McKesson Corporation,10/4/2018,130.539993,133.550003,130.330002,132.259995,130.646942,1257500
MCK,McKesson Corporation,10/5/2018,132.289993,135.429993,132.289993,134.080002,132.444748,1191500
MCK,McKesson Corporation,10/8/2018,133.839996,136.940002,133.470001,136.050003,134.390717,1353400
MCK,McKesson Corporation,10/9/2018,135.979996,137.080002,134.309998,136.839996,135.171082,2200400
MCK,McKesson Corporation,10/10/2018,136.800003,138.940002,135.399994,135.5,133.847427,1238100
MCK,McKesson Corporation,10/11/2018,135.350006,135.350006,129.139999,129.240005,127.663773,1921900
MCK,McKesson Corporation,10/12/2018,130,131.770004,128.860001,130.789993,129.19487,1428700
MCK,McKesson Corporation,10/15/2018,130.380005,132.440002,129.899994,131.369995,129.767792,1515700
MCK,McKesson Corporation,10/16/2018,132.039993,133.869995,131.039993,133.440002,131.812561,1071800
MCK,McKesson Corporation,10/17/2018,133.429993,137.119995,132.809998,135.039993,133.393051,1377600
MCK,McKesson Corporation,10/18/2018,135,135.380005,131.949997,132.699997,131.081589,1905300
MCK,McKesson Corporation,10/19/2018,132.949997,135.050003,132.199997,132.389999,130.77536,1919400
MCK,McKesson Corporation,10/22/2018,129.630005,131.600006,125.43,126.730003,125.184395,1842200
MCK,McKesson Corporation,10/23/2018,125.25,127.889999,124.690002,127.290001,125.737572,1185300
MCK,McKesson Corporation,10/24/2018,126.809998,128.429993,121.389999,121.580002,120.097206,2444700
MCK,McKesson Corporation,10/25/2018,120.019997,123.629997,117.760002,121.989998,120.502197,3269400
MCK,McKesson Corporation,10/26/2018,120.970001,121,117.190002,118.389999,116.946098,2650500
MCK,McKesson Corporation,10/29/2018,120.25,122.230003,119.459999,120.769997,119.297073,1665500
MCK,McKesson Corporation,10/30/2018,121.25,124.199997,120.209999,124.120003,122.606224,1608400
MCK,McKesson Corporation,10/31/2018,124.889999,125.980003,123.629997,124.760002,123.238419,1360100
MCK,McKesson Corporation,11/1/2018,125.480003,129.199997,125.410004,129.089996,127.51561,1399400
MCK,McKesson Corporation,11/2/2018,129.660004,130,123.690002,125.410004,123.880493,1601400
MCK,McKesson Corporation,11/5/2018,125.660004,127.900002,125.449997,127.120003,125.569633,1275500
MCK,McKesson Corporation,11/6/2018,126.669998,129.839996,124.199997,128.600006,127.031586,1120500
MCK,McKesson Corporation,11/7/2018,129.059998,132.850006,129.059998,132.720001,131.101334,1754900
MCK,McKesson Corporation,11/8/2018,132.029999,135.119995,131.429993,132.570007,130.953171,1431500
MCK,McKesson Corporation,11/9/2018,132.580002,132.949997,129.699997,130.809998,129.21463,886000
MCK,McKesson Corporation,11/12/2018,130.839996,131.820007,130.240005,130.470001,128.878784,834500
MCK,McKesson Corporation,11/13/2018,130.770004,131.529999,129.220001,130.149994,128.562683,1194100
MCK,McKesson Corporation,11/14/2018,130.619995,131.860001,127.910004,128.889999,127.318054,1656500
MCK,McKesson Corporation,11/15/2018,128.179993,128.429993,124.120003,127.470001,125.915367,1349500
MCK,McKesson Corporation,11/16/2018,127.099998,128.169998,123.709999,123.889999,122.379028,1961300
MCK,McKesson Corporation,11/19/2018,123.93,127.480003,123.800003,126.190002,124.650978,2477900
MCK,McKesson Corporation,11/20/2018,125.730003,126.379997,122.32,122.550003,121.055374,1385000
MCK,McKesson Corporation,11/21/2018,122.440002,123.150002,121.470001,121.809998,120.324394,1258700
MCK,McKesson Corporation,11/23/2018,121.089996,121.489998,119,121.160004,119.68232,631000
MCK,McKesson Corporation,11/26/2018,122.290001,122.349998,119.690002,120.639999,119.168671,1392400
MCK,McKesson Corporation,11/27/2018,120.43,125.790001,120.32,125.690002,124.157082,1994500
MCK,McKesson Corporation,11/28/2018,125.720001,127.160004,124.470001,127.160004,125.609154,2941100
MCK,McKesson Corporation,11/29/2018,126.989998,127.980003,125.459999,127.010002,125.460976,1331600
MCK,McKesson Corporation,11/30/2018,126.940002,126.959999,123.169998,124.5,123.360382,2585900
MCK,McKesson Corporation,12/3/2018,123.029999,127.190002,123.029999,127.160004,125.99604,1785600
MCK,McKesson Corporation,12/4/2018,126.5,127.82,124.559998,125.050003,123.90535,2472800
MCK,McKesson Corporation,12/6/2018,124,126.480003,120.019997,126.400002,125.242996,3005900
MCK,McKesson Corporation,12/7/2018,125.639999,127.720001,124.699997,124.940002,123.796364,2137900
MCK,McKesson Corporation,12/10/2018,124.839996,124.919998,120.720001,123.099998,121.973198,1579300
MCK,McKesson Corporation,12/11/2018,123.839996,125.459999,120.669998,122.150002,121.031898,1458700
MCK,McKesson Corporation,12/12/2018,121.989998,126.120003,121.959999,123.330002,122.201096,1402500
MCK,McKesson Corporation,12/13/2018,123.330002,124.480003,121.300003,122.860001,121.735397,1288500
MCK,McKesson Corporation,12/14/2018,121.290001,121.900002,116.220001,116.660004,115.592148,1698900
MCK,McKesson Corporation,12/17/2018,115.25,115.949997,111.269997,111.900002,110.87571,2722500
MCK,McKesson Corporation,12/18/2018,113.129997,113.389999,108.550003,109.190002,108.190521,2286900
MCK,McKesson Corporation,12/19/2018,108.970001,113,107.970001,110.629997,109.617332,2401400
MCK,McKesson Corporation,12/20/2018,111.989998,114.410004,108.699997,109.860001,108.854385,3307400
MCK,McKesson Corporation,12/21/2018,108.440002,112.050003,107.790001,108.339996,107.348297,2888900
MCK,McKesson Corporation,12/24/2018,108.32,109.739998,106.110001,108.230003,107.239311,1353600
MCK,McKesson Corporation,12/26/2018,108.32,110.870003,106.610001,110.779999,109.765968,1837400
MCK,McKesson Corporation,12/27/2018,109.769997,111.120003,107.760002,111.059998,110.043404,2251700
MCK,McKesson Corporation,12/28/2018,111.449997,111.910004,109.129997,110.040001,109.032738,1584000
MCK,McKesson Corporation,12/31/2018,110.370003,111.269997,109.540001,110.470001,109.458801,962300
MCK,McKesson Corporation,1/2/2019,109.860001,114.190002,109.160004,113.07,112.035004,2151100
MCK,McKesson Corporation,1/3/2019,112.449997,114.440002,111.889999,112.940002,111.906197,3595500
MCK,McKesson Corporation,1/4/2019,113.559998,114.980003,112.029999,114.330002,113.28347,1532600
MCK,McKesson Corporation,1/7/2019,114.480003,117.480003,114.300003,115.360001,114.304047,1378500
MCK,McKesson Corporation,1/8/2019,116.059998,118.650002,116.059998,117.709999,116.63253,1956600
MCK,McKesson Corporation,1/9/2019,118.07,118.910004,117.290001,118.260002,117.177498,1610600
MCK,McKesson Corporation,1/10/2019,118.080002,122.589996,117.449997,122.040001,120.922905,2183500
MCK,McKesson Corporation,1/11/2019,121.300003,122.459999,120.199997,122.160004,121.041809,1259600
MCK,McKesson Corporation,1/14/2019,121.019997,122.550003,120.360001,121.690002,120.576111,1529800
MCK,McKesson Corporation,1/15/2019,121.769997,123.120003,121.010002,123.050003,121.92366,1196200
MCK,McKesson Corporation,1/16/2019,122.959999,124.809998,122.519997,123.599998,122.46862,1164100
MCK,McKesson Corporation,1/17/2019,123.449997,125.139999,123.339996,124.389999,123.251389,1199300
MCK,McKesson Corporation,1/18/2019,125.040001,127.330002,125.010002,126.669998,125.510521,1839000
MCK,McKesson Corporation,1/22/2019,125.889999,126.040001,124.150002,125.870003,124.71785,1135600
MCK,McKesson Corporation,1/23/2019,126.080002,126.849998,124.489998,126.120003,124.965561,1319900
MCK,McKesson Corporation,1/24/2019,125.900002,126.800003,124.459999,125.470001,124.32151,1960900
MCK,McKesson Corporation,1/25/2019,126.860001,128.610001,126.57,127.050003,125.887047,1093300
MCK,McKesson Corporation,1/28/2019,126.419998,126.839996,124.690002,125.769997,124.618759,1178800
MCK,McKesson Corporation,1/29/2019,126.169998,126.190002,124.419998,125.290001,124.143158,1335100
MCK,McKesson Corporation,1/30/2019,125.300003,126.080002,124.309998,124.970001,123.82608,1274600
MCK,McKesson Corporation,1/31/2019,125.230003,129.979996,125.230003,128.25,127.076065,2962500
MCK,McKesson Corporation,2/1/2019,123.559998,127.730003,122.459999,127.330002,126.164482,3215700
MCK,McKesson Corporation,2/4/2019,127.690002,132.259995,127.650002,132.259995,131.049347,2496400
MCK,McKesson Corporation,2/5/2019,132.559998,133.75,131.539993,131.770004,130.563843,2354400
MCK,McKesson Corporation,2/6/2019,131.339996,133.220001,131,132.619995,131.406052,1387400
MCK,McKesson Corporation,2/7/2019,132.809998,133.490005,130.289993,130.600006,129.404556,1257000
MCK,McKesson Corporation,2/8/2019,130.149994,130.580002,127.540001,128.490005,127.313873,1447200
MCK,McKesson Corporation,2/11/2019,128.740005,130.889999,128.210007,130.429993,129.236099,1437700
MCK,McKesson Corporation,2/12/2019,131.660004,134.490005,128.869995,134,132.773422,2794700
MCK,McKesson Corporation,2/13/2019,134.300003,135.300003,133.630005,134.169998,132.941864,1170000
MCK,McKesson Corporation,2/14/2019,133.559998,135.509995,132.210007,134.389999,133.159851,1071100
MCK,McKesson Corporation,2/15/2019,135.320007,136.160004,134.460007,135.559998,134.319153,1072400
MCK,McKesson Corporation,2/19/2019,135.369995,137.160004,134.539993,136.300003,135.052368,1260400
MCK,McKesson Corporation,2/20/2019,135.190002,135.899994,133.869995,134.039993,132.813065,1149500
MCK,McKesson Corporation,2/21/2019,134.089996,134.229996,131.490005,131.949997,130.742188,1372000
MCK,McKesson Corporation,2/22/2019,131.949997,132.419998,130.809998,131.490005,130.286407,1303700
MCK,McKesson Corporation,2/25/2019,132.410004,132.410004,129.910004,130.179993,128.988373,1437100
MCK,McKesson Corporation,2/26/2019,130.089996,130.330002,126.980003,127.150002,125.98613,2037900
MCK,McKesson Corporation,2/27/2019,126.980003,127.440002,125.800003,127.419998,126.253654,1432200
MCK,McKesson Corporation,2/28/2019,127.279999,128.460007,126.589996,127.160004,126.382866,1268200
MCK,McKesson Corporation,3/1/2019,127.610001,128.5,124.040001,124.529999,123.768936,1549100
MCK,McKesson Corporation,3/4/2019,124.529999,124.709999,119.75,120.099998,119.366005,2225400
MCK,McKesson Corporation,3/5/2019,120.400002,120.93,116.839996,117.160004,116.443985,2954300
MCK,McKesson Corporation,3/6/2019,116.970001,117.379997,113.080002,113.510002,112.816284,1582600
