Ticker,Company,Date,Open,High,Low,Close,Adj Close,Volume
BRK-B,Berkshire Hathaway Inc,9/28/2018,216.380005,216.380005,213.860001,214.110001,214.110001,4482500
BRK-B,Berkshire Hathaway Inc,10/1/2018,215.919998,216.139999,213.940002,214.779999,214.779999,2993000
BRK-B,Berkshire Hathaway Inc,10/2/2018,214.429993,215.539993,214.039993,215.289993,215.289993,2934800
BRK-B,Berkshire Hathaway Inc,10/3/2018,215.75,217.779999,215.5,216.399994,216.399994,3275100
BRK-B,Berkshire Hathaway Inc,10/4/2018,216.429993,219,216.360001,218.970001,218.970001,4428500
BRK-B,Berkshire Hathaway Inc,10/5/2018,219.699997,220.399994,218.690002,219.460007,219.460007,4075700
BRK-B,Berkshire Hathaway Inc,10/8/2018,219.160004,222.759995,219.020004,222.059998,222.059998,5641200
BRK-B,Berkshire Hathaway Inc,10/9/2018,221.850006,223.940002,221.009995,223.759995,223.759995,4516500
BRK-B,Berkshire Hathaway Inc,10/10/2018,224,224.070007,212.539993,213.100006,213.100006,7922100
BRK-B,Berkshire Hathaway Inc,10/11/2018,209.899994,211.089996,203.279999,205.190002,205.190002,8322700
BRK-B,Berkshire Hathaway Inc,10/12/2018,210.039993,210.600006,204,206.800003,206.800003,5734700
BRK-B,Berkshire Hathaway Inc,10/15/2018,207.460007,207.460007,204.669998,205.029999,205.029999,4541100
BRK-B,Berkshire Hathaway Inc,10/16/2018,206.660004,210.779999,205.919998,209.830002,209.830002,4776200
BRK-B,Berkshire Hathaway Inc,10/17/2018,209.830002,211.669998,207.309998,210.520004,210.520004,3807800
BRK-B,Berkshire Hathaway Inc,10/18/2018,210,211.270004,207.320007,208.699997,208.699997,3144900
BRK-B,Berkshire Hathaway Inc,10/19/2018,208.490005,210.75,207.800003,209.830002,209.830002,4814500
BRK-B,Berkshire Hathaway Inc,10/22/2018,210.770004,210.770004,206.029999,206.190002,206.190002,3252400
BRK-B,Berkshire Hathaway Inc,10/23/2018,203.100006,205.25,201.880005,204,204,4705700
BRK-B,Berkshire Hathaway Inc,10/24/2018,202.770004,203.690002,199.570007,199.809998,199.809998,4705900
BRK-B,Berkshire Hathaway Inc,10/25/2018,200.729996,203.429993,200.139999,201.979996,201.979996,4571900
BRK-B,Berkshire Hathaway Inc,10/26/2018,199.009995,200.690002,197.289993,198.490005,198.490005,6734600
BRK-B,Berkshire Hathaway Inc,10/29/2018,201.229996,203.610001,197.929993,200.039993,200.039993,4936400
BRK-B,Berkshire Hathaway Inc,10/30/2018,199.649994,203.759995,198.699997,203.350006,203.350006,6054300
BRK-B,Berkshire Hathaway Inc,10/31/2018,205.210007,208.070007,204.5,205.279999,205.279999,5663000
BRK-B,Berkshire Hathaway Inc,11/1/2018,205.600006,206.279999,204.320007,205.860001,205.860001,3895100
BRK-B,Berkshire Hathaway Inc,11/2/2018,207.5,208.710007,203.389999,206.570007,206.570007,5060000
BRK-B,Berkshire Hathaway Inc,11/5/2018,213.509995,217.509995,212.960007,216.240005,216.240005,7667600
BRK-B,Berkshire Hathaway Inc,11/6/2018,216.75,218.740005,216.460007,218.509995,218.509995,3879800
BRK-B,Berkshire Hathaway Inc,11/7/2018,219.990005,221.550003,217.559998,221.240005,221.240005,4741900
BRK-B,Berkshire Hathaway Inc,11/8/2018,221.240005,223.520004,220.550003,222.419998,222.419998,4166000
BRK-B,Berkshire Hathaway Inc,11/9/2018,221.669998,221.990005,218.300003,219.630005,219.630005,3971700
BRK-B,Berkshire Hathaway Inc,11/12/2018,219.960007,220.190002,215,215.419998,215.419998,3355200
BRK-B,Berkshire Hathaway Inc,11/13/2018,215.610001,219.149994,215.179993,217.919998,217.919998,4089600
