,0
0,89.61196837142501
1,89.62620843815449
2,89.668928638343
3,89.68316870507249
4,89.697408771802
5,89.71164883853152
6,89.725888905261
7,89.76860910544951
8,89.782849172179
9,89.79708923890851
10,89.81132930563803
11,89.82556937236751
12,89.88252963928551
13,89.89676970601502
14,89.91100977274453
15,89.92524983947402
16,89.96797003966253
17,89.98221010639202
18,89.99645017312153
19,90.01069023985104
20,90.02493030658053
21,90.06765050676904
22,90.08189057349853
23,90.09613064022804
24,90.11037070695755
25,90.12461077368704
26,90.16733097387555
27,90.18157104060504
28,90.19581110733455
29,90.21005117406406
30,90.22429124079355
31,90.28125150771154
32,90.29549157444106
33,90.30973164117057
34,90.32397170790006
35,90.36669190808857
36,90.38093197481805
37,90.39517204154757
38,90.40941210827708
39,90.42365217500657
40,90.46637237519508
41,90.48061244192456
42,90.49485250865408
43,90.50909257538359
44,90.52333264211308
45,90.56605284230159
46,90.58029290903107
47,90.59453297576059
48,90.6087730424901
49,90.62301310921958
50,90.6657333094081
51,90.67997337613758
52,90.6942134428671
53,90.70845350959658
54,90.7226935763261
55,90.76541377651458
56,90.77965384324412
57,90.7938939099736
58,90.80813397670309
59,90.82237404343263
60,90.86509424362109
61,90.87933431035063
62,90.89357437708011
63,90.9078144438096
64,90.92205451053914
65,90.9647747107276
66,90.97901477745714
67,90.99325484418662
68,91.00749491091611
69,91.02173497764565
70,91.0644551778341
71,91.07869524456365
72,91.09293531129313
73,91.10717537802262
74,91.16413564494061
75,91.17837571167016
76,91.19261577839964
77,91.20685584512913
78,91.22109591185867
79,91.26381611204712
80,91.27805617877667
81,91.29229624550615
82,91.30653631223564
83,91.32077637896512
84,91.36349657915363
85,91.37773664588318
86,91.39197671261266
87,91.40621677934215
88,91.42045684607163
89,91.46317704626014
90,91.47741711298968
91,91.49165717971917
92,91.50589724644865
93,91.52013731317814
94,91.56285751336665
95,91.5770975800962
96,91.59133764682568
97,91.60557771355516
98,91.61981778028465
99,91.6767780472027
100,91.69101811393219
101,91.70525818066167
102,91.71949824739116
103,91.76221844757967
104,91.77645851430921
105,91.7906985810387
106,91.80493864776818
107,91.81917871449767
108,91.86189891468618
109,91.87613898141572
110,91.8903790481452
111,91.90461911487469
112,91.91885918160418
113,91.96157938179269
114,91.97581944852223
115,91.99005951525172
116,92.0042995819812
117,92.01853964871069
118,92.0612598488992
119,92.07549991562874
120,92.08973998235822
121,92.10398004908771
122,92.1182201158172
123,92.1609403160057
124,92.17518038273525
125,92.18942044946473
126,92.2179005829237
127,92.26062078311222
128,92.27486084984176
129,92.28910091657124
130,92.30334098330073
131,92.31758105003021
132,92.36030125021873
133,92.37454131694827
134,92.38878138367775
135,92.40302145040724
136,92.41726151713672
137,92.45998171732523
138,92.47422178405478
139,92.48846185078426
140,92.50270191751375
141,92.51694198424323
142,92.55966218443174
143,92.57390225116129
144,92.58814231789077
145,92.60238238462026
146,92.61662245134974
147,92.65934265153825
148,92.6735827182678
149,92.68782278499728
150,92.70206285172677
151,92.71630291845625
152,92.75902311864476
153,92.7732631853743
154,92.78750325210379
155,92.80174331883327
156,92.81598338556276
157,92.85870358575127
158,92.87294365248081
159,92.8871837192103
160,92.90142378593978
161,92.91566385266927
162,92.95838405285778
163,92.97262411958732
164,92.98686418631681
165,93.0011042530463
166,93.01534431977578
167,93.07230458669383
168,93.08654465342332
169,93.1007847201528
170,93.11502478688229
171,93.1577449870708
172,93.17198505380034
173,93.18622512052983
174,93.20046518725931
175,93.2147052539888
176,93.25742545417731
177,93.27166552090685
178,93.28590558763634
179,93.30014565436582
180,93.3143857210953
181,93.35710592128382
182,93.37134598801336
183,93.38558605474284
184,93.39982612147233
